,TLE_LINE1,TLE_LINE2
0,1 00004U 58001  A 70090.03500497  .07718844 +00000-0 +00000-0 0  9991,2 00004 033.1468 334.6171 0024739 311.5310 048.3249 16.27546304584022
1,1     5U 58002B   20121.10824920  .00000169  00000-0  22259-3 0  9991,2     5  34.2491  17.2489 1847109 134.7524 241.9085 10.84840099200102
2,1 00008U 58004  B 60095.16166626  .02607090 +00000-0 +00000-0 0  9993,2 00008 065.0599 163.5585 0088318 135.6760 224.6847 16.28328133100004
3,1 00009U 58005  A 59275.28696823  .00892850 +00000-0 +00000-0 0  9991,2 00009 050.2549 082.4216 0254534 057.7226 303.5234 15.51612549060703
4,1    11U 59001A   20120.73148460  .00000090  00000-0  40565-4 0  9998,2    11  32.8717 238.3349 1468304 336.3975  17.5397 11.85694746610938
5,1    12U 59001B   20120.78115141 +.00000019 +00000-0 -26934-5 0  9991,2    12 032.8983 161.2103 1665367 180.0435 180.0149 11.44291663274404
6,1 00015U 59004  A 59272.62543869  .00008106 +00000-0 +00000-0 0  9997,2 00015 046.9509 049.6823 7601812 047.2577 341.8928 01.88913924001001
7,1    16U 58002A   20120.75079102 -.00000137 +00000-0 -16591-3 0  9996,2    16 034.2628 295.1722 2026572 032.4240 338.6084 10.48693744453720
8,1 00017U 59004  B 61008.85131000  .00070225 +00000-0 +00000-0 0  9995,2 00017 047.1000 284.3200 7526400 171.0000 203.9657 02.00290678010078
9,1 00018U 59005  A 59269.32477950  .04655228 +00000-0 +00000-0 0  9998,2 00018 079.9899 251.4819 0140209 012.7649 347.4143 16.16111033006800
