ORDINAL,COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","4","EXPLORER 1","PAYLOAD","U","58001A","1970-03-31 00:50:24","429408","16.27546304","0.0024739","33.1468","334.6171","311.531","48.3249","0","999","58402","0","0.07718844","0","33954","0 EXPLORER 1","1 00004U 58001  A 70090.03500497  .07718844 +00000-0 +00000-0 0  9991","2 00004 033.1468 334.6171 0024739 311.5310 048.3249 16.27546304584022","1958-001A","4","6577.283","88.476","215.419","182.876","1"
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","5","VANGUARD 1","PAYLOAD","U","58002B","2020-04-30 02:35:52","730880","10.84840099","0.1847109","34.2491","17.2489","134.7524","241.9085","0","999","20010","0.00022259","0.00000169","0","2741620","0 VANGUARD 1","1     5U 58002B   20121.10824920  .00000169  00000-0  22259-3 0  9991","2     5  34.2491  17.2489 1847109 134.7524 241.9085 10.84840099200102","1958-002B","5","8619.684","132.738","3833.698","649.399","0"
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","8","SPUTNIK 3","PAYLOAD","U","58004B","1960-04-04 03:52:47","964864","16.28328133","0.0088318","65.0599","163.5585","135.676","224.6847","0","999","10000","0","0.0260709","0","33906","0 SPUTNIK 3","1 00008U 58004  B 60095.16166626  .02607090 +00000-0 +00000-0 0  9993","2 00008 065.0599 163.5585 0088318 135.6760 224.6847 16.28328133100004","1958-004B","8","6575.177","88.434","255.113","138.972","1"
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","9","EXPLORER 4","PAYLOAD","U","58005A","1959-10-02 06:53:14","55072","15.51612549","0.0254534","50.2549","82.4216","57.7226","303.5234","0","999","6070","0","0.0089285","0","33905","0 EXPLORER 4","1 00009U 58005  A 59275.28696823  .00892850 +00000-0 +00000-0 0  9991","2 00009 050.2549 082.4216 0254534 057.7226 303.5234 15.51612549060703","1958-005A","9","6790.158","92.806","584.856","239.191","1"
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","11","VANGUARD 2","PAYLOAD","U","59001A","2020-04-29 17:33:20","269440","11.85694746","0.1468304","32.8717","238.3349","336.3975","17.5397","0","999","61093","0.000040565","0.0000009","0","2741537","0 VANGUARD 2","1    11U 59001A   20120.73148460  .00000090  00000-0  40565-4 0  9998","2    11  32.8717 238.3349 1468304 336.3975  17.5397 11.85694746610938","1959-001A","11","8123.688","121.447","2938.357","552.748","0"
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","12","VANGUARD R/B","ROCKET BODY","U","59001B","2020-04-29 18:44:51","481824","11.44291663","0.1665367","32.8983","161.2103","180.0435","180.0149","0","999","27440","-0.0000026934","0.00000019","0","2741555","0 VANGUARD R/B","1    12U 59001B   20120.78115141 +.00000019 +00000-0 -26934-5 0  9991","2    12 032.8983 161.2103 1665367 180.0435 180.0149 11.44291663274404","1959-001B","12","8318.480","125.842","3325.678","555.013","0"
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","15","EXPLORER 6","PAYLOAD","U","59004A","1959-09-29 15:00:37","902816","1.88913924","0.7601812","46.9509","49.6823","47.2577","341.8928","0","999","100","0","0.00008106","0","33905","0 EXPLORER 6","1 00015U 59004  A 59272.62543869  .00008106 +00000-0 +00000-0 0  9997","2 00015 046.9509 049.6823 7601812 047.2577 341.8928 01.88913924001001","1959-004A","15","27641.364","762.251","42275.674","250.783","1"
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","16","VANGUARD R/B","ROCKET BODY","U","58002A","2020-04-29 18:01:08","344128","10.48693744","0.2026572","34.2628","295.1722","32.424","338.6084","0","999","45372","-0.00016591","-0.00000137","0","2741555","0 VANGUARD R/B","1    16U 58002A   20120.75079102 -.00000137 +00000-0 -16591-3 0  9996","2    16 034.2628 295.1722 2026572 032.4240 338.6084 10.48693744453720","1958-002A","16","8816.632","137.313","4225.251","651.743","0"
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","17","THOR ABLE R/B","ROCKET BODY","U","59004B","1961-01-08 20:25:53","183999","2.00290678","0.75264","47.1","284.32","171","203.9657","0","999","1007","0","0.00070225","0","33907","0 THOR ABLE R/B","1 00017U 59004  B 61008.85131000  .00070225 +00000-0 +00000-0 0  9995","2 00017 047.1000 284.3200 7526400 171.0000 203.9657 02.00290678010078","1959-004B","17","26584.487","718.955","40214.901","197.803","1"
"1","GENERATED VIA SPACETRACK.ORG API","18 SPCS","18","DISCOVERER 5","PAYLOAD","U","59005A","1959-09-26 07:47:40","948799","16.16111033","0.0140209","79.9899","251.4819","12.7649","347.4143","0","999","680","0","0.04655228","0","33905","0 DISCOVERER 5","1 00018U 59005  A 59269.32477950  .04655228 +00000-0 +00000-0 0  9998","2 00018 079.9899 251.4819 0140209 012.7649 347.4143 16.16111033006800","1959-005A","18","6608.273","89.102","322.792","137.484","1"
