,,,,,,
,,,,,,
1, 11U, 59001A  ,20122.75361995,0.00000049,  00000-0,  21494-4 
2,11,32.87,230.7421 1468212,347.8161,9.0278,11.8569485
1, 20U, 59007A  ,20122.88295429,0.00000034, +00000-0, +17977-4 
2,20,33.3452,347.9552 1665107,19.6466,346.1239,11.5567953
1, 22U, 59009A  ,20123.11740739,0.00000223,  00000-0,  39993-4 
2,22,50.2839,319.4742 0139704,81.6971,279.9789,14.9511894
1, 29U, 60002B  ,20122.63614964,-0.0000014,  00000-0,  10272-4 
2,29,48.3784,169.5632 0023665,30.9479,329.2822,14.7435332
1, 45U, 60007A  ,20123.19471255,-0.0000005,  00000-0,  14475-4 
2,45,66.6923,142.8362 0257442,347.6562,11.8304,14.3367436
1, 46U, 60007B  ,20122.88329623,0, +00000-0, +23225-4 
2,46,66.6894,172.3406 0208449,168.0073,192.6113,14.4929185
1, 58U, 60013A  ,20123.00788979,0.00000095,  00000-0,  19181-4 
2,58,28.3286,330.2613 0164915,44.7211,316.6504,13.4632136
1,107U, 61013A  ,20123.18921561,0.00000634,  00000-0,  67769-4 
2,107,28.7873, 82.7392 0546820,35.7704,327.8261,14.0895002
1,116U, 61015A  ,20122.90719724,-0.00000054, +00000-0, +17748-4 
2,116,66.8098,322.0049 0071542,37.2286,323.3722,13.9176962
1,117U, 61015B  ,20123.19487732,-0.00000059,  00000-0,  13834-4 
2,117,66.8139, 56.7547 0071840,59.3982,301.4157,13.8985136
1,162U, 61017A  ,20122.43650348,-0.00000134, +00000-0, +84029-5 
2,162,47.8994,093.2185 0045479,250.9709,108.6254,14.4405404
1,202U, 61031A  ,20122.85800352,0.00000057,  00000-0,  41541-4 
2,202,32.439, 45.8088 0101202,144.1035,216.6436,13.6353692
1,205U, 61031B  ,20123.19591297,0.00000042,  00000-0,  23355-4 
2,205,32.4397,177.4883 0102357,299.5411,59.5038,13.6241206
1,226U, 62002A  ,20122.28684254,-0.00000135, +00000-0, +10850-4 
2,226,48.2974,045.4585 0077869,42.5287,318.1609,14.4567383
1,309U, 62025A  ,20123.13031797,-0.00000147,  00000-0,  11328-4 
2,309,58.0888,131.0212 0199046,73.4858,288.7934,14.5684065
1,369U, 62039A  ,20122.7776504,0.00000072,  00000-0,  15645-4 
2,369,98.4576, 21.5804 0093027,147.6502,213.0462,14.8370925
1,397U, 62047A  ,20122.70502344,-0.00000098,  00000-0,  12505-4 
2,397,58.3053,196.2925 0005749,3.1957,356.9123,14.8844977
1,424U, 62049A  ,20122.93723577,-0.00000007, +00000-0, -18762-4 
2,424,80.4646,309.2138 0022387,247.4269,112.4506,13.6914683
1,446U, 62060A  ,20122.59548174,-0.00000125, +00000-0, +19340-5 
2,446,50.1415,162.3569 0070292,214.276,282.7724,13.3527297
1,506U, 62070A  ,20122.81154781,-0.00000119, +00000-0, +16345-4 
2,506,52.0038,261.5977 0277084,290.7643,66.3795,13.8516206
1,614U, 63025B  ,20123.13227482,0.00008818, -95195-6,  16601-3 
2,614,81.9817,157.2246 0555169,28.4684,334.5675,14.596299
1,670U, 63038B  ,20123.14636341,0.00000039,  00000-0,  51623-4 
2,670,90.0439,331.6664 0040004,319.0066,40.8077,13.4432968
1,671U, 63038C  ,20123.12207981,0.00000045,  00000-0,  61487-4 
2,671,90.0448,331.5739 0038361,279.2051,80.4759,13.4484636
1,704U, 63049B  ,20122.90782191,0.00000048, +00000-0, +64423-4 
2,704,89.9018,090.9388 0033073,248.4107,163.4729,13.4684832
1,705U, 63049C  ,20122.86340596,0.00000047, +00000-0, +60949-4 
2,705,89.9019,090.8707 0032881,208.4091,207.4651,13.473437
1,716U, 63054A  ,20122.85088775,-0.00000086,  00000-0,  16189-4 
2,716,58.4971, 14.0210 0016902,252.8165,107.1023,14.6953155
1,728U, 64001B  ,20122.86883969,-0.00000004,  00000-0,  35606-4 
2,728,69.9081,338.8692 0014113,337.8682,22.1812,13.9716065
1,729U, 64001C  ,20123.16241471,-0.00000029,  00000-0,  18368-4 
2,729,69.9026, 50.0196 0011523,59.119,301.1046,13.9490431
1,730U, 64001D  ,20122.92915383,-0.00000019, +00000-0, +25339-4 
2,730,69.9085,039.4725 0012725,15.3314,54.2917,13.9562725
1,731U, 64001E  ,20122.85717384,-0.00000049,  00000-0,  32089-5 
