Line,,,,,,,,
1, 11U, 59001A  ,20122.75361995,0.00000049,  00000-0,  21494-4 ,0,9996
2,11,32.87,230.7421 1468212,347.8161,9.0278,11.8569485,561,1171
1, 20U, 59007A  ,20122.88295429,0.00000034, +00000-0, +17977-4 ,0,9999
2,20,33.3452,347.9552 1665107,19.6466,346.1239,11.5567953,622,5215
1, 22U, 59009A  ,20123.11740739,0.00000223,  00000-0,  39993-4 ,0,9991
2,22,50.2839,319.4742 0139704,81.6971,279.9789,14.9511894,221,8397
1, 29U, 60002B  ,20122.63614964,-0.0000014,  00000-0,  10272-4 ,0,9997
2,29,48.3784,169.5632 0023665,30.9479,329.2822,14.7435332,221,1751
1, 45U, 60007A  ,20123.19471255,-0.0000005,  00000-0,  14475-4 ,0,9995
2,45,66.6923,142.8362 0257442,347.6562,11.8304,14.3367436,211,6077
1, 46U, 60007B  ,20123.22834366,0,  00000-0,  23061-4 ,0,9992
2,46,66.6893,171.4083 0208422,167.749,192.8802,14.4929195,113,2401
1, 58U, 60013A  ,20123.00788979,0.00000095,  00000-0,  19181-4 ,0,9997
2,58,28.3286,330.2613 0164915,44.7211,316.6504,13.4632136,993,2880
1,107U, 61013A  ,20123.18921561,0.00000634,  00000-0,  67769-4 ,0,9992
2,107,28.7873, 82.7392 0546820,35.7704,327.8261,14.0895002,95,9244
1,116U, 61015A  ,20122.90719724,-0.00000054, +00000-0, +17748-4 ,0,9998
2,116,66.8098,322.0049 0071542,37.2286,323.3722,13.9176962,98,5349
1,117U, 61015B  ,20123.19487732,-0.00000059,  00000-0,  13834-4 ,0,9999
2,117,66.8139, 56.7547 0071840,59.3982,301.4157,13.8985136,398,3608
1,162U, 61017A  ,20122.43650348,-0.00000134, +00000-0, +84029-5 ,0,9991
2,162,47.8994,093.2185 0045479,250.9709,108.6254,14.4405404,706,8262
1,202U, 61031A  ,20122.85800352,0.00000057,  00000-0,  41541-4 ,0,9994
2,202,32.439, 45.8088 0101202,144.1035,216.6436,13.6353692,191,5512
1,205U, 61031B  ,20123.19591297,0.00000042,  00000-0,  23355-4 ,0,9997
2,205,32.4397,177.4883 0102357,299.5411,59.5038,13.6241206,691,4302
1,226U, 62002A  ,20123.18537539,-0.00000131,  00000-0,  11813-4 ,0,9993
2,226,48.2975, 41.4010 0077849,46.2431,314.4877,14.4567392,6 6,5554
1,309U, 62025A  ,20123.13031797,-0.00000147,  00000-0,  11328-4 ,0,9998
2,309,58.0888,131.0212 0199046,73.4858,288.7934,14.5684065,3 5,5569
1,369U, 62039A  ,20122.7776504,0.00000072,  00000-0,  15645-4 ,0,9995
2,369,98.4576, 21.5804 0093027,147.6502,213.0462,14.8370925,8 8,3618
1,397U, 62047A  ,20122.70502344,-0.00000098,  00000-0,  12505-4 ,0,9995
2,397,58.3053,196.2925 0005749,3.1957,356.9123,14.8844977,9 9,9962
1,424U, 62049A  ,20122.93723577,-0.00000007, +00000-0, -18762-4 ,0,9998
2,424,80.4646,309.2138 0022387,247.4269,112.4506,13.6914683,387,5128
1,446U, 62060A  ,20122.59548174,-0.00000125, +00000-0, +19340-5 ,0,9999
2,446,50.1415,162.3569 0070292,214.276,282.7724,13.3527297,780,4758
