INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
2019-006BD,44166,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-04-22,88.15,95.58,201,165,,,0,SMALL,7288,2019,6,BD,Y,MICROSAT-R DEB,2019-006BD,44166
2017-037C,42800,ROCKET BODY,SL-4 R/B,CIS,2017-06-23,PKMTR,2020-04-20,87.32,98.02,152,131,,,0,LARGE,7289,2017,37,C,Y,SL-4 R/B,2017-037C,42800
1998-067PY,44032,PAYLOAD,TECHEDSAT 8,US,1998-11-20,TTMTR,2020-04-20,87.76,51.61,169,158,,,0,MEDIUM,7287,1998,67,PY,Y,TECHEDSAT 8,1998-067PY,44032
1976-080A,9270,PAYLOAD,OPS 7940,US,1976-08-06,AFWTR,2020-04-18,94.43,61.82,904,78,,,0,LARGE,7289,1976,80,A,Y,OPS 7940,1976-080A,9270
2019-064A,44550,PAYLOAD,SOYUZ MS-15,CIS,2019-09-25,TTMTR,2020-04-17,92.98,51.64,423,418,,,0,,7281,2019,64,A,Y,SOYUZ MS-15,2019-064A,44550
2020-019BR,45423,DEBRIS,FALCON 9 DEB,US,2020-03-18,AFETR,2020-04-16,87.65,52.99,165,151,,,0,MEDIUM,7284,2020,19,BR,Y,FALCON 9 DEB,2020-019BR,45423
2020-019BN,45420,DEBRIS,FALCON 9 DEB,US,2020-03-18,AFETR,2020-04-14,87.36,52.99,151,136,,,0,MEDIUM,7281,2020,19,BN,Y,FALCON 9 DEB,2020-019BN,45420
2020-019BP,45421,DEBRIS,FALCON 9 DEB,US,2020-03-18,AFETR,2020-04-13,87.94,52.99,185,160,,,0,MEDIUM,7282,2020,19,BP,Y,FALCON 9 DEB,2020-019BP,45421
2020-019BQ,45422,DEBRIS,FALCON 9 DEB,US,2020-03-18,AFETR,2020-04-13,87.59,52.99,163,147,,,0,MEDIUM,7282,2020,19,BQ,Y,FALCON 9 DEB,2020-019BQ,45422
2020-023B,45477,ROCKET BODY,SL-4 R/B,CIS,2020-04-09,TTMTR,2020-04-12,87.34,51.65,144,141,,,0,LARGE,7282,2020,23,B,Y,SL-4 R/B,2020-023B,45477
2019-096D,44908,TBA,OBJECT D,CIS,2019-12-26,PKMTR,2020-04-10,115.86,82.52,1508,1481,,,0,LARGE,7275,2019,96,D,Y,OBJECT D,2019-096D,44908
2019-072E,44707,ROCKET BODY,CZ-4B R/B,PRC,2019-11-03,TSC,2020-04-08,87.2,97.53,142,130,,,0,LARGE,7275,2019,72,E,Y,CZ-4B R/B,2019-072E,44707
2019-084E,44828,PAYLOAD,NOOR 1B,US,2019-12-06,RLLC,2020-04-07,87.82,96.97,174,159,,,0,SMALL,7275,2019,84,E,Y,NOOR 1B,2019-084E,44828
1998-067NY,43550,PAYLOAD,RADIX,US,1998-11-20,TTMTR,2020-04-07,88.04,51.62,185,170,,,0,MEDIUM,7275,1998,67,NY,Y,RADIX,1998-067NY,43550
2020-016A,45341,PAYLOAD,DRAGON CRS-20,US,2020-03-07,AFETR,2020-04-07,92.86,51.64,422,408,,,0,LARGE,7272,2020,16,A,Y,DRAGON CRS-20,2020-016A,45341
1998-067HT,41463,PAYLOAD,DIWATA-1,RP,1998-11-20,TTMTR,2020-04-06,86.98,51.61,125,125,,,0,MEDIUM,7289,1998,67,HT,Y,DIWATA-1,1998-067HT,41463
1999-025HB,29905,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,2020-04-03,89.55,99.17,261,243,,,0,SMALL,7271,1999,25,HB,Y,FENGYUN 1C DEB,1999-025HB,29905
2020-001AL,44948,PAYLOAD,STARLINK-1118,US,2020-01-07,AFETR,2020-04-02,88.16,52.99,188,179,,,0,LARGE,7268,2020,1,AL,Y,STARLINK-1118,2020-001AL,44948
2020-006BP,45105,DEBRIS,FALCON 9 DEB,US,2020-01-29,AFETR,2020-03-31,87.86,52.99,174,162,,,0,MEDIUM,7278,2020,6,BP,Y,FALCON 9 DEB,2020-006BP,45105
1994-057J,43346,DEBRIS,DMSP 5D-2 F12 DEB,US,1994-08-29,AFWTR,2020-03-31,92.3,99.39,408,367,,,0,SMALL,7278,1994,57,J,Y,DMSP 5D-2 F12 DEB,1994-057J,43346
2020-006BN,45104,DEBRIS,FALCON 9 DEB,US,2020-01-29,AFETR,2020-03-29,87.79,52.98,171,159,,,0,MEDIUM,7278,2020,6,BN,Y,FALCON 9 DEB,2020-006BN,45104
2020-006BQ,45106,DEBRIS,FALCON 9 DEB,US,2020-01-29,AFETR,2020-03-25,87.24,52.98,141,134,,,0,MEDIUM,7278,2020,6,BQ,Y,FALCON 9 DEB,2020-006BQ,45106
